rank,PID,score,cell_score,n_cells,area_acres,parcel_type,n_buildings,severance_candidate,latitude,longitude,maps_link
1,60347168,89.5875,94.75,1,21.84864132923427,developed,4,False,44.31604456343191,-64.530662424733,"https://www.google.com/maps?q=44.316045,-64.530662"
2,60344983,88.4625,82.25,13,166.65040349796885,land_only,0,False,44.265610043349646,-64.44215230764614,"https://www.google.com/maps?q=44.26561,-64.442152"
3,60327822,88.35416666666666,82.08333333333333,13,219.39189960861063,lightly_built,1,True,44.423414314417634,-64.64741925687498,"https://www.google.com/maps?q=44.423414,-64.647419"
4,60303062,88.26249999999999,86.25,4,52.787397513278655,land_only,0,False,44.213802483263926,-64.59797233714765,"https://www.google.com/maps?q=44.213802,-64.597972"
5,60559630,87.15,91.0,1,24.59323380350417,land_only,0,False,44.42037357339573,-64.66337744061902,"https://www.google.com/maps?q=44.420374,-64.663377"
5,60554573,87.15,91.0,1,39.65879169162237,lightly_built,2,False,44.38858198237891,-64.5427162005284,"https://www.google.com/maps?q=44.388582,-64.542716"
7,60555083,86.29583333333335,78.91666666666667,40,624.5446415743467,land_only,0,False,44.46532914613482,-64.61555893750324,"https://www.google.com/maps?q=44.465329,-64.615559"
8,60359312,86.24166666666667,78.83333333333333,14,200.7531379877604,lightly_built,2,True,44.243302842429685,-64.4646842946405,"https://www.google.com/maps?q=44.243303,-64.464684"
9,60198108,85.93125,89.125,2,22.76918472999468,developed,5,False,44.409943874098275,-64.54862742739219,"https://www.google.com/maps?q=44.409944,-64.548627"
10,60242690,85.91666666666666,78.33333333333333,8,113.08709079385018,lightly_built,1,True,44.37790586351927,-64.44158109561447,"https://www.google.com/maps?q=44.377906,-64.441581"
11,70167887,85.86250000000001,78.25,98,1509.7224156507796,land_only,0,False,44.12218349864699,-64.67387561324132,"https://www.google.com/maps?q=44.122183,-64.673876"
12,60217908,85.77083333333334,82.41666666666667,5,61.06526616656106,developed,6,False,44.46881178233882,-64.43643710323188,"https://www.google.com/maps?q=44.468812,-64.436437"
13,60554987,85.74375,82.375,2,85.17659322288962,lightly_built,1,True,44.395036680444214,-64.53716903900238,"https://www.google.com/maps?q=44.395037,-64.537169"
14,60198330,85.6875,88.75,2,32.60816057342346,land_only,0,False,44.41182816244368,-64.54662681892943,"https://www.google.com/maps?q=44.411828,-64.546627"
15,70115134,85.375,77.5,27,444.5791652170424,land_only,0,False,44.207631425856874,-64.71916246841663,"https://www.google.com/maps?q=44.207631,-64.719162"
16,60346319,85.2125,77.25,11,145.3184412853487,land_only,0,False,44.31994130169455,-64.49356981611767,"https://www.google.com/maps?q=44.319941,-64.49357"
17,60324621,84.8875,76.75,20,281.0323449913155,developed,5,False,44.37684475717684,-64.6696725744984,"https://www.google.com/maps?q=44.376845,-64.669673"
18,60250073,84.725,76.5,11,173.06192986678573,developed,5,False,44.39605656629124,-64.48284131791104,"https://www.google.com/maps?q=44.396057,-64.482841"
19,70202346,84.7125,87.25,1,32.89765594903387,land_only,0,False,44.06896578608841,-64.69265918553441,"https://www.google.com/maps?q=44.068966,-64.692659"
20,60197936,84.525,80.5,1,53.69005942848119,land_only,0,False,44.41407170634591,-64.53375422235976,"https://www.google.com/maps?q=44.414072,-64.533754"
21,60290335,84.45416666666667,76.08333333333333,11,179.05392584638594,developed,9,False,44.345542954236095,-64.53365785235914,"https://www.google.com/maps?q=44.345543,-64.533658"
22,60254893,84.3625,80.25,6,76.89781381113323,developed,4,False,44.49668193912848,-64.66291050447613,"https://www.google.com/maps?q=44.496682,-64.662911"
23,60529591,84.34583333333333,75.91666666666667,18,297.1065690191528,land_only,0,False,44.325816333322344,-64.63185122821383,"https://www.google.com/maps?q=44.325816,-64.631851"
24,60358884,84.075,75.5,11,183.7109495015693,developed,17,False,44.235144344710946,-64.42800477633683,"https://www.google.com/maps?q=44.235144,-64.428005"
24,70202817,84.075,75.5,13,237.60570104478367,land_only,0,False,44.188018103476665,-64.70093488612353,"https://www.google.com/maps?q=44.188018,-64.700935"
26,60199361,83.73750000000001,85.75,2,20.34485249076335,developed,3,False,44.44509688051021,-64.57751392843804,"https://www.google.com/maps?q=44.445097,-64.577514"
26,60551983,83.73750000000001,85.75,1,32.589483652132245,land_only,0,False,44.42287373544422,-64.46551126424299,"https://www.google.com/maps?q=44.422874,-64.465511"
28,60310463,83.64166666666667,74.83333333333333,20,304.13949957489683,land_only,0,False,44.33084718925099,-64.64446185417476,"https://www.google.com/maps?q=44.330847,-64.644462"
29,60246121,83.60416666666666,79.08333333333333,5,61.51162874414956,lightly_built,2,True,44.380610618032534,-64.45747324150821,"https://www.google.com/maps?q=44.380611,-64.457473"
30,60601648,83.55,79.0,4,56.08059672418894,land_only,0,False,44.45756069164152,-64.59039264274624,"https://www.google.com/maps?q=44.457561,-64.590393"
31,60412145,83.33125000000001,85.125,2,28.878705167339103,land_only,0,False,44.46047625228946,-64.59096812968932,"https://www.google.com/maps?q=44.460476,-64.590968"
32,60314150,83.225,78.5,7,95.20717480554208,lightly_built,1,True,44.362822000095576,-64.73934084519199,"https://www.google.com/maps?q=44.362822,-64.739341"
33,70184759,83.20833333333334,74.16666666666667,189,2822.9022501623513,land_only,0,False,44.233007059875774,-64.6938736412656,"https://www.google.com/maps?q=44.233007,-64.693874"
34,60327913,83.0625,78.25,7,93.95738864180672,land_only,0,False,44.43580972425918,-64.64036511184428,"https://www.google.com/maps?q=44.43581,-64.640365"
35,60197837,82.775,73.5,14,162.2718525106021,developed,3,True,44.41659164334909,-64.53513955910087,"https://www.google.com/maps?q=44.416592,-64.53514"
36,60695830,82.7625,84.25,1,23.558996839507724,land_only,0,False,44.29749000485132,-64.5172842809494,"https://www.google.com/maps?q=44.29749,-64.517284"
36,60537792,82.7625,84.25,1,35.33248076286243,land_only,0,False,44.35270496127631,-64.54477174228056,"https://www.google.com/maps?q=44.352705,-64.544772"
36,60568987,82.7625,84.25,2,21.39154342163475,land_only,0,False,44.47105458972176,-64.38981549151089,"https://www.google.com/maps?q=44.471055,-64.389815"
39,60323524,82.72083333333333,73.41666666666667,11,177.99104317916053,developed,4,False,44.40670437098618,-64.68700584104855,"https://www.google.com/maps?q=44.406704,-64.687006"
39,70184619,82.72083333333333,73.41666666666667,31,459.2143286269627,land_only,0,False,44.24058287063455,-64.73931110001105,"https://www.google.com/maps?q=44.240583,-64.739311"
