rank,PID,score,cell_score,n_cells,area_acres,parcel_type,n_buildings,severance_candidate,latitude,longitude,maps_link
4,60327822,88.35416666666666,82.08333333333333,13,219.39189960861063,lightly_built,1,True,44.423414314417634,-64.64741925687498,"https://www.google.com/maps?q=44.423414,-64.647419"
9,60359312,86.24166666666667,78.83333333333333,14,200.7597409218866,lightly_built,2,True,44.2433027150845,-64.46468421078791,"https://www.google.com/maps?q=44.243303,-64.464684"
12,60242690,85.91666666666666,78.33333333333333,8,113.08709079385018,lightly_built,1,True,44.37790586351927,-64.44158109561447,"https://www.google.com/maps?q=44.377906,-64.441581"
13,60554987,85.74375,82.375,2,85.17659322288962,lightly_built,1,True,44.395036680444214,-64.53716903900238,"https://www.google.com/maps?q=44.395037,-64.537169"
18,60235470,85.01249999999999,81.25,6,72.719828360728,lightly_built,2,True,44.490073312053234,-64.34118406950125,"https://www.google.com/maps?q=44.490073,-64.341184"
23,60300365,84.50833333333334,76.16666666666667,10,170.6121475413405,developed,3,True,44.24186429380936,-64.56600964892424,"https://www.google.com/maps?q=44.241864,-64.56601"
31,60246121,83.60416666666666,79.08333333333333,5,61.51162874414956,lightly_built,2,True,44.380610618032534,-64.45747324150821,"https://www.google.com/maps?q=44.380611,-64.457473"
35,60314150,83.225,78.5,7,95.20717480554208,lightly_built,1,True,44.362822000095576,-64.73934084519199,"https://www.google.com/maps?q=44.362822,-64.739341"
38,60197837,82.775,73.5,14,162.2718525106021,developed,3,True,44.41659164334909,-64.53513955910087,"https://www.google.com/maps?q=44.416592,-64.53514"
44,60323748,82.70833333333334,84.16666666666667,4,41.49656768447864,developed,3,True,44.420552116530224,-64.67362617129773,"https://www.google.com/maps?q=44.420552,-64.673626"
46,60327749,82.01666666666667,72.33333333333333,6,112.13840989637072,lightly_built,2,True,44.43052917579779,-64.63054481350028,"https://www.google.com/maps?q=44.430529,-64.630545"
51,60312436,81.80000000000001,72.0,19,264.54786876742867,developed,3,True,44.32427989080068,-64.7109050943103,"https://www.google.com/maps?q=44.32428,-64.710905"
52,60591377,81.70833333333334,76.16666666666667,7,98.82886513231384,lightly_built,1,True,44.38938740518473,-64.58053101781115,"https://www.google.com/maps?q=44.389387,-64.580531"
57,60573417,80.93333333333334,70.66666666666667,1105,17305.948003525442,developed,3,True,44.46807113148497,-64.26113501972748,"https://www.google.com/maps?q=44.468071,-64.261135"
124,60370939,77.575,65.5,12,189.83115801431032,lightly_built,1,True,44.25839119379463,-64.47608487515609,"https://www.google.com/maps?q=44.258391,-64.476085"
129,60225109,77.29166666666666,75.83333333333333,5,46.80261712803449,lightly_built,2,True,44.43710436898443,-64.38886897150077,"https://www.google.com/maps?q=44.437104,-64.388869"
138,60543055,76.92500000000001,64.5,42,666.0079596871872,lightly_built,2,True,44.25927594272057,-64.36949376004392,"https://www.google.com/maps?q=44.259276,-64.369494"
150,60211950,76.16666666666667,63.333333333333336,7,109.13190895618972,developed,3,True,44.50657054292774,-64.54252000556832,"https://www.google.com/maps?q=44.506571,-64.54252"
153,60614286,75.95,63.0,9,144.9768897122232,lightly_built,2,True,44.48838825732787,-64.42382071734232,"https://www.google.com/maps?q=44.488388,-64.423821"
160,60340957,75.64166666666665,66.83333333333333,5,68.21866186367248,lightly_built,2,True,44.3053299120464,-64.4294231585857,"https://www.google.com/maps?q=44.30533,-64.429423"
183,60543014,74.86666666666667,61.333333333333336,22,329.6060546673719,developed,3,True,44.30169385189462,-64.3736377885062,"https://www.google.com/maps?q=44.301694,-64.373638"
187,60311313,74.65,61.0,8,102.78426125423076,lightly_built,2,True,44.303965221861304,-64.65437466542544,"https://www.google.com/maps?q=44.303965,-64.654375"
254,60272028,72.97083333333333,58.416666666666664,9,138.99890322384678,developed,3,True,44.471533096861485,-64.63872400809464,"https://www.google.com/maps?q=44.471533,-64.638724"
254,60363041,72.97083333333333,58.416666666666664,7,116.86016234803024,lightly_built,1,True,44.19674097854776,-64.46298161895425,"https://www.google.com/maps?q=44.196741,-64.462982"
256,60271533,72.93333333333334,62.666666666666664,9,95.5021308251156,lightly_built,1,True,44.46364179209118,-64.66326123518245,"https://www.google.com/maps?q=44.463642,-64.663261"
258,60271855,72.91666666666667,58.333333333333336,7,107.33567838142498,lightly_built,2,True,44.4641363124541,-64.63070147199998,"https://www.google.com/maps?q=44.464136,-64.630701"
264,60299633,72.7,58.0,17,262.1153885124513,lightly_built,2,True,44.24517227368453,-64.51752217568514,"https://www.google.com/maps?q=44.245172,-64.517522"
291,60201787,72.22916666666666,61.583333333333336,6,84.51005730366629,developed,3,True,44.47143971934822,-64.59271386470995,"https://www.google.com/maps?q=44.47144,-64.592714"
294,60244902,72.12083333333334,61.416666666666664,5,69.95985507297002,lightly_built,1,True,44.392662039183385,-64.44664866467623,"https://www.google.com/maps?q=44.392662,-64.446649"
309,60271822,71.61666666666667,56.333333333333336,12,182.73550252549845,developed,3,True,44.452580392654994,-64.65145741246182,"https://www.google.com/maps?q=44.45258,-64.651457"
322,60345717,71.29166666666667,55.833333333333336,13,154.34461440463917,lightly_built,2,True,44.34678817430387,-64.47665444967404,"https://www.google.com/maps?q=44.346788,-64.476654"
356,60299070,70.75,55.0,8,113.59441848746032,lightly_built,1,True,44.28176668747301,-64.5207655141126,"https://www.google.com/maps?q=44.281767,-64.520766"
378,60288719,70.5875,54.75,21,290.90433369554466,developed,3,True,44.34176760703234,-64.51718801705739,"https://www.google.com/maps?q=44.341768,-64.517188"
388,60328267,70.44166666666666,58.833333333333336,4,83.10368258353674,developed,3,True,44.44828964519679,-64.63959129545215,"https://www.google.com/maps?q=44.44829,-64.639591"
388,60183050,70.44166666666666,58.833333333333336,5,82.47469649301017,lightly_built,1,True,44.41133962083337,-64.38739923759226,"https://www.google.com/maps?q=44.41134,-64.387399"
401,60335890,70.20833333333334,54.166666666666664,9,139.74789266216206,lightly_built,1,True,44.35598698588084,-64.49949514269629,"https://www.google.com/maps?q=44.355987,-64.499495"
411,60402096,69.9375,53.75,49,788.4461886376945,developed,3,True,44.36738267386802,-64.2462690302041,"https://www.google.com/maps?q=44.367383,-64.246269"
411,60573375,69.9375,53.75,22,358.4564302406939,lightly_built,2,True,44.447034156465655,-64.35791059080306,"https://www.google.com/maps?q=44.447034,-64.357911"
411,60053154,69.9375,53.75,6,105.58032337413702,developed,3,True,44.367747052371655,-64.31289174285259,"https://www.google.com/maps?q=44.367747,-64.312892"
417,60245859,69.9,58.0,5,66.13314001467177,lightly_built,2,True,44.38581893116786,-64.44465718553076,"https://www.google.com/maps?q=44.385819,-64.444657"
419,60165214,69.775,53.5,9,106.27100411840335,lightly_built,2,True,44.35094874867241,-64.35237756698147,"https://www.google.com/maps?q=44.350949,-64.352378"
419,60295714,69.775,53.5,36,608.5543920712619,lightly_built,1,True,44.233491947869375,-64.64986126245932,"https://www.google.com/maps?q=44.233492,-64.649861"
442,60201951,69.34166666666667,52.833333333333336,7,103.75569604534336,lightly_built,2,True,44.457135471829055,-64.56046080907596,"https://www.google.com/maps?q=44.457135,-64.560461"
453,60324613,69.0875,56.75,5,86.21256427196892,lightly_built,2,True,44.387461581770985,-64.67192809198875,"https://www.google.com/maps?q=44.387462,-64.671928"
455,60302890,69.07083333333333,52.416666666666664,9,132.63734474390182,lightly_built,2,True,44.22835784588535,-64.58422659803928,"https://www.google.com/maps?q=44.228358,-64.584227"
460,60308608,68.925,56.5,4,62.77888208376536,lightly_built,2,True,44.36864378882649,-64.59145834638619,"https://www.google.com/maps?q=44.368644,-64.591458"
462,60161551,68.89583333333334,62.916666666666664,3,42.4821549793316,lightly_built,2,True,44.385065855227765,-64.34492105468867,"https://www.google.com/maps?q=44.385066,-64.344921"
464,60271566,68.81666666666666,56.333333333333336,3,57.06869391706317,lightly_built,2,True,44.46991602600197,-64.65150264193122,"https://www.google.com/maps?q=44.469916,-64.651503"
470,60271913,68.76249999999999,56.25,3,51.26056362192812,lightly_built,1,True,44.46806440885054,-64.63462327345634,"https://www.google.com/maps?q=44.468064,-64.634623"
472,60326956,68.70833333333333,56.166666666666664,7,84.98140837581845,lightly_built,2,True,44.42133614834135,-64.61985121218542,"https://www.google.com/maps?q=44.421336,-64.619851"
475,60417748,68.6375,51.75,11,213.4138798370014,developed,3,True,44.36158007610331,-64.22550292320872,"https://www.google.com/maps?q=44.36158,-64.225503"
481,60421898,68.54583333333332,55.916666666666664,5,65.68556708174215,lightly_built,1,True,44.43529572226985,-64.43269015967165,"https://www.google.com/maps?q=44.435296,-64.43269"
483,60311115,68.475,51.5,8,106.47851025240458,lightly_built,1,True,44.3120450415689,-64.65299390446995,"https://www.google.com/maps?q=44.312045,-64.652994"
488,60269214,68.36666666666667,51.333333333333336,9,147.37553635584032,developed,3,True,44.45683636072857,-64.67600977038033,"https://www.google.com/maps?q=44.456836,-64.67601"
493,60223799,68.30000000000001,62.0,5,44.27714757876972,lightly_built,2,True,44.43995791425689,-64.49651061854546,"https://www.google.com/maps?q=44.439958,-64.496511"
499,60288792,68.25833333333333,51.166666666666664,6,119.9551349437519,developed,3,True,44.338328652685675,-64.52104838366668,"https://www.google.com/maps?q=44.338329,-64.521048"
502,60454436,68.22083333333333,55.416666666666664,4,58.66184671595576,lightly_built,1,True,44.38965337454845,-64.58681559436587,"https://www.google.com/maps?q=44.389653,-64.586816"
503,60545704,68.20416666666668,51.083333333333336,1165,18076.23144406229,lightly_built,1,True,44.21424252047423,-64.2950039829256,"https://www.google.com/maps?q=44.214243,-64.295004"
534,60201845,67.93333333333334,50.666666666666664,10,160.83211135284037,lightly_built,1,True,44.4672700266244,-64.57725264624361,"https://www.google.com/maps?q=44.46727,-64.577253"
539,60310067,67.84166666666667,54.833333333333336,5,82.43239249672571,developed,3,True,44.39055201316112,-64.62063538516409,"https://www.google.com/maps?q=44.390552,-64.620635"
547,60480472,67.71666666666667,50.333333333333336,9,149.82074767843974,lightly_built,1,True,44.38162440231929,-64.68220945214927,"https://www.google.com/maps?q=44.381624,-64.682209"
549,60271798,67.6625,50.25,10,137.7345385063088,developed,3,True,44.46167325390774,-64.63783512321793,"https://www.google.com/maps?q=44.461673,-64.637835"
554,60105533,67.60833333333333,50.166666666666664,5,114.57677456098332,lightly_built,1,True,44.49955909497992,-64.34152129522518,"https://www.google.com/maps?q=44.499559,-64.341521"
558,60312493,67.55416666666667,50.083333333333336,8,117.31707598054054,lightly_built,1,True,44.313983298047624,-64.70960509078783,"https://www.google.com/maps?q=44.313983,-64.709605"
559,60303245,67.54166666666667,60.833333333333336,3,44.30730196991901,lightly_built,1,True,44.21138711181898,-64.60343928466756,"https://www.google.com/maps?q=44.211387,-64.603439"
569,60596723,67.325,60.5,4,46.26184578876507,lightly_built,2,True,44.39035617223215,-64.34553493481668,"https://www.google.com/maps?q=44.390356,-64.345535"
600,60326279,66.89166666666668,59.833333333333336,3,45.322743250286685,lightly_built,2,True,44.407428724325634,-64.58980612582026,"https://www.google.com/maps?q=44.407429,-64.589806"
613,60349198,66.59583333333333,52.916666666666664,3,57.13071648148126,lightly_built,1,True,44.30990074202573,-64.53250958387181,"https://www.google.com/maps?q=44.309901,-64.53251"
619,60322773,66.5125,59.25,3,45.88984555532555,lightly_built,2,True,44.40522827875467,-64.69969048820822,"https://www.google.com/maps?q=44.405228,-64.69969"
647,60327582,66.1625,52.25,5,54.715176198302814,lightly_built,1,True,44.40856256725171,-64.63644811280193,"https://www.google.com/maps?q=44.408563,-64.636448"
668,60350980,66.13333333333333,58.666666666666664,4,44.60914313783282,lightly_built,2,True,44.29198927137815,-64.37683293679491,"https://www.google.com/maps?q=44.291989,-64.376833"
