rank,PID,score,cell_score,n_cells,area_acres,parcel_type,n_buildings,severance_candidate,latitude,longitude,maps_link
2,60344983,88.4625,82.25,13,166.65040349796885,land_only,0,False,44.265610043349646,-64.44215230764614,"https://www.google.com/maps?q=44.26561,-64.442152"
4,60303062,88.26249999999999,86.25,4,52.787397513278655,land_only,0,False,44.213802483263926,-64.59797233714765,"https://www.google.com/maps?q=44.213802,-64.597972"
5,60559630,87.15,91.0,1,24.59323380350417,land_only,0,False,44.42037357339573,-64.66337744061902,"https://www.google.com/maps?q=44.420374,-64.663377"
7,60555083,86.29583333333335,78.91666666666667,40,624.5446415743467,land_only,0,False,44.46532914613482,-64.61555893750324,"https://www.google.com/maps?q=44.465329,-64.615559"
11,70167887,85.86250000000001,78.25,98,1509.7224156507796,land_only,0,False,44.12218349864699,-64.67387561324132,"https://www.google.com/maps?q=44.122183,-64.673876"
14,60198330,85.6875,88.75,2,32.60816057342346,land_only,0,False,44.41182816244368,-64.54662681892943,"https://www.google.com/maps?q=44.411828,-64.546627"
15,70115134,85.375,77.5,27,444.5791652170424,land_only,0,False,44.207631425856874,-64.71916246841663,"https://www.google.com/maps?q=44.207631,-64.719162"
16,60346319,85.2125,77.25,11,145.3184412853487,land_only,0,False,44.31994130169455,-64.49356981611767,"https://www.google.com/maps?q=44.319941,-64.49357"
19,70202346,84.7125,87.25,1,32.89765594903387,land_only,0,False,44.06896578608841,-64.69265918553441,"https://www.google.com/maps?q=44.068966,-64.692659"
20,60197936,84.525,80.5,1,53.69005942848119,land_only,0,False,44.41407170634591,-64.53375422235976,"https://www.google.com/maps?q=44.414072,-64.533754"
23,60529591,84.34583333333333,75.91666666666667,18,297.1065690191528,land_only,0,False,44.325816333322344,-64.63185122821383,"https://www.google.com/maps?q=44.325816,-64.631851"
24,70202817,84.075,75.5,13,237.60570104478367,land_only,0,False,44.188018103476665,-64.70093488612353,"https://www.google.com/maps?q=44.188018,-64.700935"
26,60551983,83.73750000000001,85.75,1,32.589483652132245,land_only,0,False,44.42287373544422,-64.46551126424299,"https://www.google.com/maps?q=44.422874,-64.465511"
28,60310463,83.64166666666667,74.83333333333333,20,304.13949957489683,land_only,0,False,44.33084718925099,-64.64446185417476,"https://www.google.com/maps?q=44.330847,-64.644462"
30,60601648,83.55,79.0,4,56.08059672418894,land_only,0,False,44.45756069164152,-64.59039264274624,"https://www.google.com/maps?q=44.457561,-64.590393"
31,60412145,83.33125000000001,85.125,2,28.878705167339103,land_only,0,False,44.46047625228946,-64.59096812968932,"https://www.google.com/maps?q=44.460476,-64.590968"
33,70184759,83.20833333333334,74.16666666666667,189,2822.9022501623513,land_only,0,False,44.233007059875774,-64.6938736412656,"https://www.google.com/maps?q=44.233007,-64.693874"
34,60327913,83.0625,78.25,7,93.95738864180672,land_only,0,False,44.43580972425918,-64.64036511184428,"https://www.google.com/maps?q=44.43581,-64.640365"
36,60695830,82.7625,84.25,1,23.558996839507724,land_only,0,False,44.29749000485132,-64.5172842809494,"https://www.google.com/maps?q=44.29749,-64.517284"
36,60537792,82.7625,84.25,1,35.33248076286243,land_only,0,False,44.35270496127631,-64.54477174228056,"https://www.google.com/maps?q=44.352705,-64.544772"
36,60568987,82.7625,84.25,2,21.39154342163475,land_only,0,False,44.47105458972176,-64.38981549151089,"https://www.google.com/maps?q=44.471055,-64.389815"
39,70184619,82.72083333333333,73.41666666666667,31,459.2143286269627,land_only,0,False,44.24058287063455,-64.73931110001105,"https://www.google.com/maps?q=44.240583,-64.739311"
43,60217551,81.9625,72.25,9,116.7549861860562,land_only,0,False,44.470157383675904,-64.48468176574018,"https://www.google.com/maps?q=44.470157,-64.484682"
44,70101548,81.90833333333333,72.16666666666667,11,124.35824101888136,land_only,0,False,44.1999308088738,-64.62420280331224,"https://www.google.com/maps?q=44.199931,-64.624203"
44,70167408,81.90833333333333,72.16666666666667,10,158.66599549996968,land_only,0,False,44.07827687249743,-64.71044899569782,"https://www.google.com/maps?q=44.078277,-64.710449"
44,60303575,81.90833333333333,72.16666666666667,28,373.36122695096145,land_only,0,False,44.21055702784587,-64.62690944241818,"https://www.google.com/maps?q=44.210557,-64.626909"
51,60235470,80.8125,81.25,2,22.597323455721472,land_only,0,False,44.48848814823697,-64.33694077243518,"https://www.google.com/maps?q=44.488488,-64.336941"
51,60683539,80.8125,81.25,1,23.009627711453795,land_only,0,False,44.409952955365505,-64.70320806131227,"https://www.google.com/maps?q=44.409953,-64.703208"
54,60247616,80.55416666666667,70.08333333333333,11,159.16302305971763,land_only,0,False,44.38601640266291,-64.47817737443003,"https://www.google.com/maps?q=44.386016,-64.478177"
56,60330206,80.39166666666667,69.83333333333333,7,115.1789598972838,land_only,0,False,44.434263850020585,-64.58885628190248,"https://www.google.com/maps?q=44.434264,-64.588856"
57,70168091,80.17500000000001,69.5,13,209.14669680866476,land_only,0,False,44.20735407793849,-64.68750749788997,"https://www.google.com/maps?q=44.207354,-64.687507"
59,60553732,80.15,91.0,1,10.1324182453782,land_only,0,False,44.39548147553618,-64.53217114361442,"https://www.google.com/maps?q=44.395481,-64.532171"
59,60020351,80.15,91.0,1,16.37344429981165,land_only,0,False,44.398062921888595,-64.55453307593794,"https://www.google.com/maps?q=44.398063,-64.554533"
68,60480001,80.06666666666666,69.33333333333333,8,125.75526456245304,land_only,0,False,44.39462480471257,-64.69870539516278,"https://www.google.com/maps?q=44.394625,-64.698705"
69,60323946,79.74166666666667,68.83333333333333,11,141.87891099463332,land_only,0,False,44.41373482351812,-64.67397875285131,"https://www.google.com/maps?q=44.413735,-64.673979"
70,60529583,79.6875,68.75,8,106.56396776744349,land_only,0,False,44.27706126902614,-64.70466429751666,"https://www.google.com/maps?q=44.277061,-64.704664"
71,60732054,79.6625,90.25,1,14.760927813903042,land_only,0,False,44.377745870975595,-64.53463774291346,"https://www.google.com/maps?q=44.377746,-64.534638"
71,60457264,79.6625,90.25,1,10.11511345819032,land_only,0,False,44.47856629171271,-64.41127954424,"https://www.google.com/maps?q=44.478566,-64.41128"
74,70109327,79.63333333333334,68.66666666666667,43,670.7972851783833,land_only,0,False,44.232336964592776,-64.72534363726973,"https://www.google.com/maps?q=44.232337,-64.725344"
76,60325404,79.5125,79.25,1,38.100117621810824,land_only,0,False,44.3904621665975,-64.57363706508058,"https://www.google.com/maps?q=44.390462,-64.573637"
77,60250321,79.35,79.0,1,20.974147561410636,land_only,0,False,44.41792537505104,-64.46514261828686,"https://www.google.com/maps?q=44.417925,-64.465143"
78,60182219,79.30833333333334,68.16666666666667,9,132.74353481473693,land_only,0,False,44.39436010091765,-64.35456677559881,"https://www.google.com/maps?q=44.39436,-64.354567"
79,60326782,79.21666666666667,72.33333333333333,6,71.5256084965795,land_only,0,False,44.417614030748275,-64.6128074632126,"https://www.google.com/maps?q=44.417614,-64.612807"
80,60558814,78.93125,89.125,2,11.34509714572434,land_only,0,False,44.398145288223446,-64.70837894017379,"https://www.google.com/maps?q=44.398145,-64.708379"
81,70105788,78.875,67.5,10,162.0870430532296,land_only,0,False,44.1643243517694,-64.68182680433769,"https://www.google.com/maps?q=44.164324,-64.681827"
82,60217858,78.80833333333334,78.16666666666667,3,24.807823362001297,land_only,0,False,44.471347528991814,-64.43888568085791,"https://www.google.com/maps?q=44.471348,-64.438886"
83,60567559,78.76666666666667,67.33333333333333,54,808.6378182054358,land_only,0,False,44.50506902003874,-64.50178812173786,"https://www.google.com/maps?q=44.505069,-64.501788"
84,60218005,78.6875,88.75,1,13.098151604134037,land_only,0,False,44.46347042210841,-64.43906968783497,"https://www.google.com/maps?q=44.46347,-64.43907"
85,70102009,78.44166666666666,66.83333333333333,33,524.775172738543,land_only,0,False,44.21604532728956,-64.6467325405543,"https://www.google.com/maps?q=44.216045,-64.646733"
85,70266580,78.44166666666666,66.83333333333333,16,217.31858047965844,land_only,0,False,44.07952136351882,-64.69874595319375,"https://www.google.com/maps?q=44.079521,-64.698746"
